issue_comments.Time,issue_comments,issue_comments.name
2015-02-01,1564.0,neovim_neovim
2015-02-01,1925.0,NixOS_nixpkgs
2015-02-01,3322.0,nodejs_node
2015-02-01,105.0,obsproject_obsstudio
2015-02-01,927.0,odoo_odoo
2015-02-01,311.0,opencv_opencv
2015-02-01,64.0,openhab_openhabaddons
2015-02-01,210.0,openshift_openshiftdocs
2015-02-01,44.0,openssl_openssl
2015-02-01,917.0,pandasdev_pandas
2015-02-01,278.0,php_phpsrc
2015-02-01,108.0,postmanlabs_postmanappsupport
2015-02-01,142.0,PrestaShop_PrestaShop
2015-02-01,1106.0,qbittorrent_qBittorrent
2015-02-01,174.0,qgis_QGIS
2015-02-01,2123.0,rails_rails
2015-02-01,139.0,rancher_rancher
2015-02-01,930.0,rapid7_metasploitframework
2015-02-01,348.0,redis_redis
2015-02-01,63.0,RPCS3_rpcs3
2015-02-01,57.0,rstudio_rstudio
2015-02-01,6880.0,rustlang_rust
2015-02-01,1175.0,scikitlearn_scikitlearn
2015-02-01,622.0,scipy_scipy
2015-02-01,3.0,spack_spack
2015-02-01,5257.0,spyderide_spyder
2015-02-01,1116.0,symfony_symfony
2015-02-01,4705.0,tgstation_tgstation
2015-02-01,236.0,webcompat_webbugs
2015-02-01,732.0,woocommerce_woocommerce
2015-02-01,2516.0,xbmc_xbmc
2015-03-01,145.0,AdguardTeam_AdguardFilters
2015-03-01,847.0,angular_angular
2015-03-01,218.0,ankidroid_AnkiAndroid
2015-03-01,615.0,ansible_ansible
2015-03-01,497.0,apache_flink
2015-03-01,6996.0,apache_spark
2015-03-01,366.0,ArduPilot_ardupilot
2015-03-01,349.0,Automattic_jetpack
2015-03-01,212.0,Azure_azurepowershell
2015-03-01,14.0,Azure_azuresdkforjava
2015-03-01,106.0,Azure_azuresdkfornet
2015-03-01,46.0,Azure_azuresdkforpython
2015-03-01,938.0,bitcoin_bitcoin
2015-03-01,1617.0,ceph_ceph
2015-03-01,2058.0,CleverRaven_CataclysmDDA
2015-03-01,6687.0,cmssw_cmssw
2015-03-01,377.0,cockroachdb_cockroach
2015-03-01,6.0,cypressio_cypress
2015-03-01,15.0,darktableorg_darktable
2015-03-01,411.0,DefinitelyTyped_DefinitelyTyped
2015-03-01,102.0,directus_directus
2015-03-01,442.0,dotnet_aspnetcore
2015-03-01,5.0,dotnet_AspNetCore.Docs
2015-03-01,512.0,dotnet_efcore
2015-03-01,2933.0,dotnet_roslyn
2015-03-01,1695.0,elastic_elasticsearch
2015-03-01,1054.0,elastic_kibana
2015-03-01,659.0,electron_electron
2015-03-01,1159.0,facebook_react
2015-03-01,1288.0,facebook_reactnative
2015-03-01,2.0,flutter_flutter
2015-03-01,101.0,getsentry_sentry
2015-03-01,312.0,godotengine_godot
2015-03-01,1015.0,golang_go
2015-03-01,94.0,gradle_gradle
2015-03-01,464.0,grafana_grafana
2015-03-01,605.0,grpc_grpc
2015-03-01,133.0,homeassistant_core
2015-03-01,1.0,homeassistant_homeassistant.io
2015-03-01,671.0,Homebrew_homebrewcask
2015-03-01,132.0,JetBrains_swot
2015-03-01,102.0,jitsi_jitsimeet
2015-03-01,202.0,jlord_patchwork
2015-03-01,2843.0,joomla_joomlacms
2015-03-01,2923.0,JuliaLang_julia
2015-03-01,32.0,keycloak_keycloak
2015-03-01,8084.0,kubernetes_kubernetes
2015-03-01,1423.0,laravel_framework
2015-03-01,490.0,magento_magento2
2015-03-01,1870.0,MarlinFirmware_Marlin
2015-03-01,746.0,matplotlib_matplotlib
2015-03-01,48.0,matrixorg_synapse
2015-03-01,1663.0,microsoft_TypeScript
2015-03-01,800.0,mrdoob_three.js
2015-03-01,201.0,mui_materialui
2015-03-01,2050.0,neovim_neovim
2015-03-01,1733.0,NixOS_nixpkgs
2015-03-01,3122.0,nodejs_node
2015-03-01,63.0,obsproject_obsstudio
2015-03-01,1045.0,odoo_odoo
2015-03-01,381.0,opencv_opencv
2015-03-01,104.0,openhab_openhabaddons
2015-03-01,137.0,openshift_openshiftdocs
2015-03-01,60.0,openssl_openssl
2015-03-01,1062.0,pandasdev_pandas
2015-03-01,271.0,php_phpsrc
2015-03-01,164.0,postmanlabs_postmanappsupport
2015-03-01,353.0,PrestaShop_PrestaShop
2015-03-01,924.0,qbittorrent_qBittorrent
2015-03-01,152.0,qgis_QGIS
2015-03-01,1934.0,rails_rails
2015-03-01,357.0,rancher_rancher
2015-03-01,850.0,rapid7_metasploitframework
2015-03-01,164.0,redis_redis
2015-03-01,70.0,RPCS3_rpcs3
2015-03-01,69.0,rstudio_rstudio
2015-03-01,5999.0,rustlang_rust
2015-03-01,1875.0,scikitlearn_scikitlearn
2015-03-01,605.0,scipy_scipy
2015-03-01,11.0,spack_spack
2015-03-01,656.0,spyderide_spyder
2015-03-01,1602.0,symfony_symfony
2015-03-01,1.0,systemd_systemd
2015-03-01,4231.0,tgstation_tgstation
2015-03-01,303.0,webcompat_webbugs
