participants.Time,participants.name,participants
2015-02-01,mui_materialui,81.0
2015-02-01,neovim_neovim,152.0
2015-02-01,NixOS_nixpkgs,228.0
2015-02-01,nodejs_node,353.0
2015-02-01,obsproject_obsstudio,24.0
2015-02-01,odoo_odoo,350.0
2015-02-01,opencv_opencv,47.0
2015-02-01,openhab_openhabaddons,15.0
2015-02-01,openshift_openshiftdocs,31.0
2015-02-01,openssl_openssl,26.0
2015-02-01,pandasdev_pandas,143.0
2015-02-01,php_phpsrc,85.0
2015-02-01,postmanlabs_postmanappsupport,64.0
2015-02-01,PrestaShop_PrestaShop,51.0
2015-02-01,qbittorrent_qBittorrent,129.0
2015-02-01,qgis_QGIS,35.0
2015-02-01,rails_rails,470.0
2015-02-01,rancher_rancher,33.0
2015-02-01,rapid7_metasploitframework,82.0
2015-02-01,redis_redis,84.0
2015-02-01,RPCS3_rpcs3,18.0
2015-02-01,rstudio_rstudio,13.0
2015-02-01,rustlang_rust,455.0
2015-02-01,scikitlearn_scikitlearn,106.0
2015-02-01,scipy_scipy,88.0
2015-02-01,spack_spack,4.0
2015-02-01,spyderide_spyder,40.0
2015-02-01,symfony_symfony,278.0
2015-02-01,tgstation_tgstation,155.0
2015-02-01,webcompat_webbugs,52.0
2015-02-01,woocommerce_woocommerce,212.0
2015-02-01,xbmc_xbmc,116.0
2015-03-01,AdguardTeam_AdguardFilters,5.0
2015-03-01,angular_angular,115.0
2015-03-01,ankidroid_AnkiAndroid,14.0
2015-03-01,ansible_ansible,311.0
2015-03-01,apache_flink,38.0
2015-03-01,apache_spark,253.0
2015-03-01,ArduPilot_ardupilot,86.0
2015-03-01,Automattic_jetpack,97.0
2015-03-01,Azure_azurepowershell,58.0
2015-03-01,Azure_azuresdkforjava,8.0
2015-03-01,Azure_azuresdkfornet,60.0
2015-03-01,Azure_azuresdkforpython,16.0
2015-03-01,bitcoin_bitcoin,96.0
2015-03-01,ceph_ceph,87.0
2015-03-01,CleverRaven_CataclysmDDA,104.0
2015-03-01,cmssw_cmssw,170.0
2015-03-01,cockroachdb_cockroach,22.0
2015-03-01,cypressio_cypress,5.0
2015-03-01,darktableorg_darktable,16.0
2015-03-01,DefinitelyTyped_DefinitelyTyped,204.0
2015-03-01,directus_directus,9.0
2015-03-01,dotnet_aspnetcore,142.0
2015-03-01,dotnet_AspNetCore.Docs,5.0
2015-03-01,dotnet_efcore,65.0
2015-03-01,dotnet_roslyn,217.0
2015-03-01,elastic_elasticsearch,400.0
2015-03-01,elastic_kibana,405.0
2015-03-01,electron_electron,120.0
2015-03-01,facebook_react,354.0
2015-03-01,facebook_reactnative,350.0
2015-03-01,flutter_flutter,2.0
2015-03-01,getsentry_sentry,62.0
2015-03-01,godotengine_godot,90.0
2015-03-01,golang_go,244.0
2015-03-01,gradle_gradle,28.0
2015-03-01,grafana_grafana,157.0
2015-03-01,grpc_grpc,63.0
2015-03-01,homeassistant_core,13.0
2015-03-01,homeassistant_homeassistant.io,2.0
2015-03-01,Homebrew_homebrewcask,303.0
2015-03-01,JetBrains_swot,99.0
2015-03-01,jitsi_jitsimeet,29.0
2015-03-01,jlord_patchwork,398.0
2015-03-01,joomla_joomlacms,317.0
2015-03-01,JuliaLang_julia,183.0
2015-03-01,keycloak_keycloak,13.0
2015-03-01,kubernetes_kubernetes,250.0
2015-03-01,laravel_framework,405.0
2015-03-01,magento_magento2,116.0
2015-03-01,MarlinFirmware_Marlin,133.0
2015-03-01,matplotlib_matplotlib,103.0
2015-03-01,matrixorg_synapse,7.0
2015-03-01,microsoft_TypeScript,252.0
2015-03-01,mrdoob_three.js,150.0
2015-03-01,mui_materialui,105.0
2015-03-01,neovim_neovim,211.0
2015-03-01,NixOS_nixpkgs,227.0
2015-03-01,nodejs_node,284.0
2015-03-01,obsproject_obsstudio,20.0
2015-03-01,odoo_odoo,350.0
2015-03-01,opencv_opencv,67.0
2015-03-01,openhab_openhabaddons,27.0
2015-03-01,openshift_openshiftdocs,27.0
2015-03-01,openssl_openssl,33.0
2015-03-01,pandasdev_pandas,167.0
2015-03-01,php_phpsrc,90.0
2015-03-01,postmanlabs_postmanappsupport,83.0
2015-03-01,PrestaShop_PrestaShop,69.0
2015-03-01,qbittorrent_qBittorrent,180.0
2015-03-01,qgis_QGIS,34.0
2015-03-01,qmk_qmk_firmware,2.0
2015-03-01,rails_rails,526.0
2015-03-01,rancher_rancher,33.0
2015-03-01,rapid7_metasploitframework,87.0
2015-03-01,redis_redis,70.0
2015-03-01,RPCS3_rpcs3,25.0
