stars.Time,stars.name,stars
2015-02-01,NixOS_nixpkgs,37.0
2015-02-01,nodejs_node,1504.0
2015-02-01,obsproject_obsstudio,83.0
2015-02-01,odoo_odoo,216.0
2015-02-01,opencv_opencv,267.0
2015-02-01,openhab_openhabaddons,20.0
2015-02-01,openshift_openshiftdocs,2.0
2015-02-01,openssl_openssl,89.0
2015-02-01,pandasdev_pandas,157.0
2015-02-01,php_phpsrc,193.0
2015-02-01,postmanlabs_postmanappsupport,45.0
2015-02-01,PrestaShop_PrestaShop,146.0
2015-02-01,qbittorrent_qBittorrent,53.0
2015-02-01,qgis_QGIS,21.0
2015-02-01,qmk_qmk_firmware,2.0
2015-02-01,rails_rails,450.0
2015-02-01,rancher_rancher,190.0
2015-02-01,rapid7_metasploitframework,150.0
2015-02-01,redis_redis,333.0
2015-02-01,RPCS3_rpcs3,45.0
2015-02-01,rstudio_rstudio,26.0
2015-02-01,rustlang_rust,487.0
2015-02-01,scikitlearn_scikitlearn,222.0
2015-02-01,scipy_scipy,57.0
2015-02-01,spack_spack,4.0
2015-02-01,spyderide_spyder,87.0
2015-02-01,symfony_symfony,198.0
2015-02-01,tgstation_tgstation,13.0
2015-02-01,webcompat_webbugs,2.0
2015-02-01,woocommerce_woocommerce,68.0
2015-02-01,xbmc_xbmc,102.0
2015-03-01,AdguardTeam_AdguardFilters,2.0
2015-03-01,angular_angular,1026.0
2015-03-01,ankidroid_AnkiAndroid,27.0
2015-03-01,ansible_ansible,561.0
2015-03-01,apache_flink,50.0
2015-03-01,apache_spark,436.0
2015-03-01,ArduPilot_ardupilot,103.0
2015-03-01,Automattic_jetpack,21.0
2015-03-01,Azure_azurepowershell,28.0
2015-03-01,Azure_azuresdkforjava,6.0
2015-03-01,Azure_azuresdkfornet,22.0
2015-03-01,Azure_azuresdkforpython,14.0
2015-03-01,bitcoin_bitcoin,187.0
2015-03-01,ceph_ceph,67.0
2015-03-01,CleverRaven_CataclysmDDA,24.0
2015-03-01,cmssw_cmssw,12.0
2015-03-01,cockroachdb_cockroach,276.0
2015-03-01,cypressio_cypress,4.0
2015-03-01,darktableorg_darktable,28.0
2015-03-01,DefinitelyTyped_DefinitelyTyped,274.0
2015-03-01,directus_directus,121.0
2015-03-01,dotnet_aspnetcore,252.0
2015-03-01,dotnet_AspNetCore.Docs,6.0
2015-03-01,dotnet_efcore,134.0
2015-03-01,dotnet_roslyn,324.0
2015-03-01,elastic_elasticsearch,486.0
2015-03-01,elastic_kibana,206.0
2015-03-01,electron_electron,448.0
2015-03-01,facebook_react,2400.0
2015-03-01,facebook_reactnative,9927.0
2015-03-01,flutter_flutter,13.0
2015-03-01,getsentry_sentry,155.0
2015-03-01,godotengine_godot,221.0
2015-03-01,golang_go,766.0
2015-03-01,gradle_gradle,96.0
2015-03-01,grafana_grafana,287.0
2015-03-01,grpc_grpc,1129.0
2015-03-01,homeassistant_core,49.0
2015-03-01,Homebrew_homebrewcask,249.0
2015-03-01,JetBrains_swot,11.0
2015-03-01,jitsi_jitsimeet,16.0
2015-03-01,jlord_patchwork,21.0
2015-03-01,joomla_joomlacms,49.0
2015-03-01,JuliaLang_julia,198.0
2015-03-01,keycloak_keycloak,16.0
2015-03-01,kubernetes_kubernetes,498.0
2015-03-01,laravel_framework,160.0
2015-03-01,magento_magento2,84.0
2015-03-01,MarlinFirmware_Marlin,74.0
2015-03-01,matplotlib_matplotlib,104.0
2015-03-01,matrixorg_synapse,77.0
2015-03-01,microsoft_TypeScript,785.0
2015-03-01,mrdoob_three.js,502.0
2015-03-01,mui_materialui,656.0
2015-03-01,neovim_neovim,654.0
2015-03-01,NixOS_nixpkgs,36.0
2015-03-01,nodejs_node,847.0
2015-03-01,obsproject_obsstudio,96.0
2015-03-01,odoo_odoo,287.0
2015-03-01,opencv_opencv,344.0
2015-03-01,openhab_openhabaddons,26.0
2015-03-01,openshift_openshiftdocs,2.0
2015-03-01,openssl_openssl,123.0
2015-03-01,pandasdev_pandas,149.0
2015-03-01,php_phpsrc,245.0
2015-03-01,postmanlabs_postmanappsupport,68.0
2015-03-01,PrestaShop_PrestaShop,55.0
2015-03-01,qbittorrent_qBittorrent,108.0
2015-03-01,qgis_QGIS,33.0
2015-03-01,qmk_qmk_firmware,12.0
2015-03-01,rails_rails,519.0
2015-03-01,rancher_rancher,207.0
2015-03-01,rapid7_metasploitframework,160.0
2015-03-01,redis_redis,422.0
2015-03-01,RPCS3_rpcs3,52.0
2015-03-01,rstudio_rstudio,25.0
2015-03-01,rustlang_rust,421.0
2015-03-01,scikitlearn_scikitlearn,342.0
2015-03-01,scipy_scipy,67.0
2015-03-01,spack_spack,1.0
2015-03-01,spyderide_spyder,91.0
2015-03-01,symfony_symfony,232.0
2015-03-01,systemd_systemd,1.0
2015-03-01,tgstation_tgstation,9.0
2015-03-01,webcompat_webbugs,1.0
