change_request_response_time.Time,change_request_response_time,change_request_response_time.name
2015-02-01,2.92,scikitlearn_scikitlearn
2015-02-01,3.6,scipy_scipy
2015-02-01,1.2,spack_spack
2015-02-01,0.27,spyderide_spyder
2015-02-01,27.78,symfony_symfony
2015-02-01,0.32,tgstation_tgstation
2015-02-01,2.55,woocommerce_woocommerce
2015-02-01,1.19,xbmc_xbmc
2015-03-01,173.27,angular_angular
2015-03-01,0.64,ankidroid_AnkiAndroid
2015-03-01,26.64,ansible_ansible
2015-03-01,27.65,apache_flink
2015-03-01,0.0,apache_spark
2015-03-01,7.87,ArduPilot_ardupilot
2015-03-01,5.9,Automattic_jetpack
2015-03-01,0.04,Azure_azurepowershell
2015-03-01,0.13,Azure_azuresdkfornet
2015-03-01,0.17,Azure_azuresdkforpython
2015-03-01,3.23,bitcoin_bitcoin
2015-03-01,0.25,ceph_ceph
2015-03-01,260.87,CleverRaven_CataclysmDDA
2015-03-01,0.01,cmssw_cmssw
2015-03-01,0.11,cockroachdb_cockroach
2015-03-01,0.0,cypressio_cypress
2015-03-01,7.73,darktableorg_darktable
2015-03-01,59.39,DefinitelyTyped_DefinitelyTyped
2015-03-01,0.13,directus_directus
2015-03-01,0.0,dotnet_aspnetcore
2015-03-01,4.0,dotnet_AspNetCore.Docs
2015-03-01,0.49,dotnet_efcore
2015-03-01,0.26,dotnet_roslyn
2015-03-01,200.72,elastic_elasticsearch
2015-03-01,237.35,elastic_kibana
2015-03-01,0.85,electron_electron
2015-03-01,3.15,facebook_react
2015-03-01,23.16,facebook_reactnative
2015-03-01,4.0,flutter_flutter
2015-03-01,1.12,getsentry_sentry
2015-03-01,166.94,godotengine_godot
2015-03-01,0.0,golang_go
2015-03-01,17.24,gradle_gradle
2015-03-01,1.53,grafana_grafana
2015-03-01,0.9,grpc_grpc
2015-03-01,0.15,homeassistant_core
2015-03-01,15.0,homeassistant_homeassistant.io
2015-03-01,13.74,Homebrew_homebrewcask
2015-03-01,31.92,JetBrains_swot
2015-03-01,2.0,jitsi_jitsimeet
2015-03-01,6.42,jlord_patchwork
2015-03-01,17.48,joomla_joomlacms
2015-03-01,2.37,JuliaLang_julia
2015-03-01,0.27,keycloak_keycloak
2015-03-01,0.45,kubernetes_kubernetes
2015-03-01,0.52,laravel_framework
2015-03-01,2.36,magento_magento2
2015-03-01,0.41,MarlinFirmware_Marlin
2015-03-01,0.75,matplotlib_matplotlib
2015-03-01,0.91,matrixorg_synapse
2015-03-01,0.48,microsoft_TypeScript
2015-03-01,34.26,mrdoob_three.js
2015-03-01,2.41,mui_materialui
2015-03-01,0.87,neovim_neovim
2015-03-01,11.62,NixOS_nixpkgs
2015-03-01,0.18,nodejs_node
2015-03-01,0.89,obsproject_obsstudio
2015-03-01,76.71,odoo_odoo
2015-03-01,2.49,opencv_opencv
2015-03-01,2.73,openhab_openhabaddons
2015-03-01,0.5,openshift_openshiftdocs
2015-03-01,193.67,openssl_openssl
2015-03-01,2.33,pandasdev_pandas
2015-03-01,37.4,php_phpsrc
2015-03-01,2944.0,postmanlabs_postmanappsupport
2015-03-01,24.71,PrestaShop_PrestaShop
2015-03-01,32.26,qbittorrent_qBittorrent
2015-03-01,14.66,qgis_QGIS
2015-03-01,54.8,qmk_qmk_firmware
2015-03-01,19.86,rails_rails
2015-03-01,22.6,rancher_rancher
2015-03-01,1.1,rapid7_metasploitframework
2015-03-01,1126.85,redis_redis
2015-03-01,0.14,RPCS3_rpcs3
2015-03-01,0.41,rstudio_rstudio
2015-03-01,0.13,rustlang_rust
2015-03-01,0.87,scikitlearn_scikitlearn
2015-03-01,50.56,scipy_scipy
2015-03-01,13.67,spack_spack
2015-03-01,4.78,spyderide_spyder
2015-03-01,2.47,symfony_symfony
2015-03-01,11.0,systemd_systemd
2015-03-01,19.82,tgstation_tgstation
2015-03-01,3.53,woocommerce_woocommerce
2015-03-01,0.56,xbmc_xbmc
2015-04-01,136.06,angular_angular
2015-04-01,0.22,ankidroid_AnkiAndroid
2015-04-01,14.34,ansible_ansible
2015-04-01,68.38,apache_flink
2015-04-01,0.01,apache_spark
2015-04-01,3.58,ArduPilot_ardupilot
2015-04-01,7.13,Automattic_jetpack
2015-04-01,0.05,Azure_azurepowershell
2015-04-01,5.0,Azure_azuresdkforjava
2015-04-01,0.02,Azure_azuresdkfornet
2015-04-01,3.5,Azure_azuresdkforpython
2015-04-01,3.58,bitcoin_bitcoin
2015-04-01,0.43,ceph_ceph
2015-04-01,212.93,CleverRaven_CataclysmDDA
2015-04-01,0.16,cmssw_cmssw
2015-04-01,0.12,cockroachdb_cockroach
2015-04-01,26.08,darktableorg_darktable
2015-04-01,35.41,DefinitelyTyped_DefinitelyTyped
2015-04-01,0.43,directus_directus
2015-04-01,0.0,dotnet_aspnetcore
2015-04-01,1.95,dotnet_AspNetCore.Docs
2015-04-01,1.49,dotnet_efcore
2015-04-01,8.36,dotnet_roslyn
2015-04-01,2.69,elastic_elasticsearch
2015-04-01,3.09,elastic_kibana
2015-04-01,1.55,electron_electron
2015-04-01,2.05,facebook_react
2015-04-01,117.51,facebook_reactnative
2015-04-01,0.0,flutter_flutter
2015-04-01,68.21,getsentry_sentry
2015-04-01,419.46,godotengine_godot
